Date,Open,High,Low,Close,Adj Close,Volume
2022-07-13,247.460007,250.630005,245.320007,246.630005,246.630005,1966300
2022-07-14,244.399994,249.080002,243.309998,248.350006,248.350006,1952600
2022-07-15,251.139999,251.350006,242.889999,244.139999,244.139999,2793400
2022-07-18,245.119995,246.949997,242.869995,244.149994,244.149994,1597900
2022-07-19,247.000000,247.000000,243.009995,245.350006,245.350006,1688300
2022-07-20,245.539993,248.250000,245.270004,246.259995,246.259995,1266100
2022-07-21,246.639999,247.669998,241.529999,246.940002,246.940002,1515100
2022-07-22,247.729996,250.509995,246.220001,247.809998,247.809998,925600
2022-07-25,248.240005,249.220001,246.289993,247.720001,247.720001,981800
2022-07-26,239.320007,244.059998,239.320007,241.389999,241.389999,2158000
2022-07-27,243.000000,246.509995,240.619995,244.449997,244.449997,1469400
2022-07-28,245.119995,246.869995,242.880005,245.149994,245.149994,1474600
2022-07-29,246.190002,248.639999,243.259995,248.429993,248.429993,1294300
2022-08-01,249.070007,255.139999,248.789993,252.080002,252.080002,1257600
2022-08-02,253.119995,253.880005,249.550003,250.619995,250.619995,1225500
2022-08-03,252.720001,253.070007,249.729996,251.990005,251.990005,1107600
2022-08-04,251.399994,252.429993,250.119995,251.279999,251.279999,1319600
2022-08-05,250.000000,253.289993,248.679993,253.080002,253.080002,1266500
2022-08-08,253.490005,259.649994,253.490005,255.300003,255.300003,1326300
2022-08-09,256.720001,256.720001,253.910004,253.960007,253.960007,1002600
2022-08-10,257.000000,257.369995,253.029999,254.389999,254.389999,1112000
2022-08-11,255.589996,256.970001,251.309998,251.869995,251.869995,1274900
2022-08-12,251.639999,253.529999,250.580002,253.300003,253.300003,1026000
2022-08-15,252.160004,254.009995,248.259995,252.940002,252.940002,1290900
2022-08-16,253.240005,258.549988,252.830002,256.779999,256.779999,1863700
2022-08-17,254.179993,257.140015,253.100006,255.539993,255.539993,1235200
2022-08-18,256.260010,258.320007,254.830002,257.660004,257.660004,1342800
2022-08-19,256.739990,256.869995,252.720001,253.860001,253.860001,1576600
2022-08-22,253.630005,253.630005,248.119995,248.729996,248.729996,1822100
2022-08-23,249.059998,249.440002,245.619995,247.600006,247.600006,1669300
2022-08-24,247.550003,249.619995,246.279999,247.449997,247.449997,1718900
2022-08-25,239.960007,248.779999,235.479996,246.080002,246.080002,3216700
2022-08-26,246.210007,247.020004,236.320007,236.320007,236.320007,2783200
2022-08-29,235.000000,239.979996,233.970001,238.630005,238.630005,1669900
2022-08-30,239.210007,239.479996,235.070007,238.729996,238.729996,1599600
2022-08-31,237.910004,238.899994,236.529999,237.419998,237.419998,2469400
2022-09-01,237.389999,242.929993,237.199997,242.770004,242.770004,2471200
2022-09-02,243.820007,245.839996,241.589996,242.600006,242.600006,1382800
2022-09-06,242.910004,245.399994,239.259995,239.809998,239.809998,1438100
2022-09-07,240.740005,246.350006,240.089996,245.889999,245.889999,1962900
2022-09-08,245.000000,249.220001,243.979996,247.410004,247.410004,1221000
2022-09-09,247.910004,248.860001,246.130005,247.259995,247.259995,1142600
2022-09-12,247.309998,248.419998,246.360001,247.130005,247.130005,1983500
2022-09-13,243.889999,245.429993,239.729996,240.330002,240.330002,1726900
2022-09-14,241.460007,242.089996,238.050003,241.070007,241.070007,1454000
2022-09-15,241.460007,244.270004,239.389999,240.850006,240.850006,1406000
2022-09-16,241.910004,245.460007,241.830002,243.789993,243.789993,2263200
2022-09-19,243.110001,246.610001,242.580002,245.610001,245.610001,2034500
